residue,next_residue,weight_tau_capped_R,tau_exact,next_index
1583,2375,1,1,1187
1585,1189,2,2,594
1587,2381,1,1,1190
1589,149,5,5,74
1591,2387,1,1,1193
1593,1195,2,2,597
1595,2393,1,1,1196
1597,599,3,3,299
1599,2399,1,1,1199
1601,1201,2,2,600
1603,2405,1,1,1202
1605,301,4,4,150
1607,2411,1,1,1205
1609,1207,2,2,603
1611,2417,1,1,1208
1613,605,3,3,302
1615,2423,1,1,1211
1617,1213,2,2,606
1619,2429,1,1,1214
1621,19,8,8,9
1623,2435,1,1,1217
1625,1219,2,2,609
1627,2441,1,1,1220
1629,611,3,3,305
1631,2447,1,1,1223
1633,1225,2,2,612
1635,2453,1,1,1226
1637,307,4,4,153
1639,2459,1,1,1229
1641,1231,2,2,615
1643,2465,1,1,1232
1645,617,3,3,308
1647,2471,1,1,1235
1649,1237,2,2,618
1651,2477,1,1,1238
1653,155,5,5,77
1655,2483,1,1,1241
1657,1243,2,2,621
1659,2489,1,1,1244
1661,623,3,3,311
1663,2495,1,1,1247
1665,1249,2,2,624
1667,2501,1,1,1250
1669,313,4,4,156
1671,2507,1,1,1253
1673,1255,2,2,627
1675,2513,1,1,1256
1677,629,3,3,314
1679,2519,1,1,1259
1681,1261,2,2,630
1683,2525,1,1,1262
1685,79,6,6,39
1687,2531,1,1,1265
1689,1267,2,2,633
1691,2537,1,1,1268
1693,635,3,3,317
1695,2543,1,1,1271
1697,1273,2,2,636
1699,2549,1,1,1274
1701,319,4,4,159
1703,2555,1,1,1277
1705,1279,2,2,639
1707,2561,1,1,1280
1709,641,3,3,320
1711,2567,1,1,1283
1713,1285,2,2,642
1715,2573,1,1,1286
1717,161,5,5,80
1719,2579,1,1,1289
1721,1291,2,2,645
1723,2585,1,1,1292
1725,647,3,3,323
1727,2591,1,1,1295
1729,1297,2,2,648
1731,2597,1,1,1298
1733,325,4,4,162
1735,2603,1,1,1301
1737,1303,2,2,651
1739,2609,1,1,1304
1741,653,3,3,326
1743,2615,1,1,1307
1745,1309,2,2,654
1747,2621,1,1,1310
1749,41,7,7,20
1751,2627,1,1,1313
1753,1315,2,2,657
1755,2633,1,1,1316
1757,659,3,3,329
1759,2639,1,1,1319
1761,1321,2,2,660
1763,2645,1,1,1322
1765,331,4,4,165
1767,2651,1,1,1325
1769,1327,2,2,663
1771,2657,1,1,1328
1773,665,3,3,332
1775,2663,1,1,1331
1777,1333,2,2,666
1779,2669,1,1,1334
1781,167,5,5,83
1783,2675,1,1,1337
1785,1339,2,2,669
1787,2681,1,1,1340
1789,671,3,3,335
1791,2687,1,1,1343
1793,1345,2,2,672
1795,2693,1,1,1346
1797,337,4,4,168
1799,2699,1,1,1349
1801,1351,2,2,675
1803,2705,1,1,1352
1805,677,3,3,338
1807,2711,1,1,1355
