Distance,Angle
288.7217518650093,-123.77262622894743
238.9335681732477,-132.20110148642365
236.71977103740196,-132.6888685472386
211.0195488574459,-139.5165068431042
209.7266077539996,-139.93208742826485
204.66863462680354,-141.64623267860654
203.43365011718194,-142.0879636835477
202.21090475046097,-142.5350637233281
199.80302800508304,-143.44554139668534
198.03093192731282,-144.1428010675694
190.70723635981935,-147.30990271943656
190.16900378347677,-147.56346939851838
189.10380747092321,-148.07490791020112
183.0416619242734,-151.2646314856742
178.44957270893084,-154.08111442895358
177.5844869350924,-154.66149725735298
173.54034113139227,-157.64680231301062
162.43537176366482,-171.14656750562898
164.48784149595983,167.35784767211015
164.937109226517,166.67991647754394
172.05885620914722,158.87881065798376
173.16249593950764,157.95281924030033
176.32143942243667,155.5425986627984
177.5844869350924,154.66149725735298
179.7811169172113,153.2211595930449
184.01154855062765,150.71857293894098
205.29064761941788,141.42736669501778
207.80820484283097,140.56509883491165
209.7266077539996,139.93208742826485
211.0195488574459,139.5165068431042
212.9794591034544,138.90265039460027
214.29944003659926,138.49968060436058
217.64477939982848,137.51381023617773
228.04440357088353,134.7335099239416
229.46949688357273,134.38204174889677
239.7524765252697,-131.70300076021084
239.00679906647008,-131.86248233782638
235.30671473632026,-132.67498221497289
221.01866437022915,-136.19158039191288
209.60975645231784,-139.5469476620152
203.26399090837512,-141.69237035788248
202.03031950675125,-142.1374530275676
199.60022545077447,-143.04398651793016
198.40425902686667,-143.50552295605524
197.81114730975096,-143.7383764520972
196.634813804677,-144.20827814634893
190.41074024329615,-146.8941372190617
189.3257774313894,-147.4011486992828
188.7889032755898,-147.65682975379536
185.64818878728659,-149.221494765391
182.650622774739,-150.83875671095274
181.6844792490542,-151.3895403340348
177.11366406915081,-154.23067237566127
173.00072254184374,-157.21454077455675
172.23602991244312,-157.827949131684
161.60522887580092,-170.74168021403207
161.29553620605873,-171.44288746693357
161.939031737256,170.04325947975948
162.29679602506022,169.34781495093222
162.67836365048672,168.65553119531438
163.73530468411508,166.9398124201464
165.1945822356169,164.91218997314905
169.04511232212542,160.65396964779168
171.4912534212751,158.4467569293125
171.86113580446278,158.13668261822303
173.39045533131286,156.909883002176
179.3439433044785,152.79200571677765
179.80336481834817,152.50860524991776
183.63346644879303,150.2938189872859
185.13846169826516,149.48738201471377
204.5097797172546,141.25268394146107
206.40070251818426,140.60316978039194
209.60975645231784,139.5469476620152
211.56854681166575,138.92871719255146
212.88788128965913,138.52291451938777
214.2177630356549,138.12213046211573
232.38169032864874,133.34350611569437
233.10995259748134,133.17480372973756
290.9609080271781,-123.0073569937544
240.58938048051914,-131.20832820641078
239.83796613547239,-131.365711293076
237.59471795475588,-131.84381650673913
235.36832837066248,-132.3310011413931
233.89367242403117,-132.66092809644456
220.9937781929618,-135.82500220398893
219.6047586005367,-136.19925339359938
203.73082731879336,-141.0766637636044
198.20002522704178,-143.10119429429156
196.41346695173425,-143.8010507713686
189.02711445715929,-146.9824859349195
185.3058282947409,-148.79762290603162
184.2776437878453,-149.3295185123068
181.29051271371043,-150.96074435475157
179.38297020620436,-152.07782137193436
171.69231200027565,-157.39297012780068
169.83300621492867,-158.9503782625385
160.4594964469227,-171.03665505998
159.30552407245645,-174.2357256356907
158.70176432541638,177.1105514564284
160.78323917622757,170.332632421631
161.1311577566549,169.63154458760496
161.50309594555765,168.93358181964516
163.97027169581685,165.15861736494318
164.4939208603163,164.4852114534585
165.0401466310546,163.81617110377502
167.1264491335827,161.51084515776031
167.771421881082,160.86306450084336
168.43767393311984,160.22032678837567
170.1947413993746,158.6361929773849
170.9334665886116,158.0118585962519
172.07919688329557,157.08559072472772
172.86772399728065,156.4750033354889
175.34893783539152,154.67713713672597
175.7789805409054,154.38250254631652
179.38297020620436,152.07782137193436
180.80721777628239,151.2377972868837
194.65674917659547,144.51364716848036
196.41346695173425,143.8010507713686
201.24177001805563,141.96270579296512
205.628913336622,140.4263221414372
210.15767889848803,138.95513398856139
211.47635801668233,138.54645859320553
212.80566251864633,138.14286851255105
214.14539453371393,137.74430872521728
214.81910995067454,137.5468978351636
230.96807138650138,133.33336484475728
233.15928032141463,132.8274538207699
233.89367242403117,132.66092809644456
234.63002791629208,132.49544621971992
289.577709777531,-122.94921511659044
287.06488813506957,-123.27488798483492
241.4440929076543,-130.71712153475386
240.6870374573587,-130.87240829748828
237.67677631607174,-131.5034128772727
236.18266236114792,-131.8249274803501
235.43842082378993,-131.98721249581666
233.955658191889,-132.31487342935802
219.57971217760533,-135.830315486258
203.58597692375574,-140.68089081796595
202.32461540801208,-141.11905899783613
183.9327322691641,-148.90268711422056
178.97276329095442,-151.64503821467594
178.0315983189501,-152.2114812305765
169.26384729173563,-158.51288126976922
168.54153790683173,-159.14554196042167
160.92001118568194,-168.16635469383934
159.02908539006316,-172.04822986525687
158.89383247942635,-172.40535663140858
158.41480360117865,-173.8395434664094
158.2126733229674,-174.5596679689945
157.95648134850308,-175.6430249941537
157.50317457118126,179.63622216113544
157.6554788137729,177.4551956201869
157.75693328662294,176.72951207681643
158.64189232355997,173.12136742349864
159.02908539006316,172.04822986525687
159.96952834837015,169.91940201245768
160.14758818040315,169.5671542367445
163.26435618346093,164.72949161707783
163.80247250881166,164.05460409907712
164.36316497317762,163.3842285792007
165.8621415513498,161.7289090130444
166.5,161.07535558394878
167.15935510763376,160.4268741695898
169.6326914247369,158.19859051364818
171.55247010754465,156.64791943768813
171.95130124543985,156.34200300123732
181.40079933671737,150.25511870305778
182.9077636405847,149.43916073262847
196.20206420932476,143.3929251873925
201.07523467597892,141.56269850893747
204.22108118409324,140.46384281323665
210.06487093276687,138.57031907008368
212.06190134015114,137.96258091038013
212.73281364190152,137.76254547414325
214.76091357600433,137.16997165370626
231.01352774242466,132.98275898661805
231.74608950314567,132.81419919322443
232.48064435561082,132.6467031338917
267.54672489118605,-125.79907319105705
265.11931276314067,-126.17831865579247
243.84677566045445,-129.92590859872956
241.5538242297149,-130.3826095255815
236.26521115052043,-131.4824963309816
234.02617374986073,-131.96901469445524
202.178757538966,-140.72056282236738
177.61827045661715,-151.77571138718088
169.46164757844178,-157.4451552005272
167.96800290531527,-158.70533930777867
167.6074282363404,-159.02384660748737
160.15071027004532,-167.74282618975943
159.7380668469479,-168.4438624995807
158.18106713510312,-171.63938390718076
157.77277965479342,-172.71733056760453
157.31576526209952,-174.16256631809912
157.0390078929436,-175.25150790688826
156.8861051846211,-175.97943289633693
156.5,180.0
156.5127790309788,179.2678254224362
156.70433944214818,177.0736893739078
157.53174283299222,173.4389002794516
157.77277965479342,172.71733056760453
157.90265988893285,172.35740035090353
158.18106713510312,171.63938390718076
158.98506219138955,169.85632266876905
159.3494587377064,169.14842398398022
160.8143339382407,166.69827756632833
163.12035433997806,163.62037071577348
165.2308990473634,161.29091078334477
170.2388028623322,156.8235058136455
171.44168104635466,155.90177949487497
171.85240760606177,155.59743392862302
182.5602640225961,149.00933140813336
199.05087289434326,141.83468992234697
199.67035333268683,141.60907884275719
202.81333782569627,140.50188436941787
204.09127859857216,140.06862281863818
207.99338931802617,138.80111785135585
208.653420772342,138.59450236281876
209.98154680828503,138.18518136478312
210.64959055265214,137.9824615827846
211.99351405172754,137.58086747445176
272.68342450541434,-124.76824331817274
270.2244437500057,-125.13098195006964
263.72191793629895,-126.13119891038772
262.109232954507,-126.38898290049386
208.56953277024905,-138.20676748483444
168.92675927750463,-157.00182142284015
168.15543404838274,-157.62913161131289
167.03667262011658,-158.58076903348461
166.31671593679332,-159.22219178695354
158.9630460201364,-168.01852529198808
157.0485593693874,-171.94728946664674
156.91159931630293,-172.30883824805886
155.96233519667496,-175.58720667393035
155.50321540083985,179.6315434746623
156.65647129946467,173.03376014750802
157.0485593693874,171.94728946664674
158.18106713510312,169.43597167676802
159.61281276890023,166.96502460040307
160.0757633122516,166.2675949388941
169.71814870543457,156.38028754919637
170.1212802679312,156.07170724906246
170.52932299167787,155.7645948185202
171.3600011671335,155.1548014515975
172.64197056335982,154.251284220986
173.07873930670976,153.95311358036307
194.60023124343917,143.04177388428442
197.03108891745993,142.11226411685928
197.64678089966455,141.88347799480903
202.68263369119714,140.1039429129798
205.9253505520872,139.03655618565435
206.5823080517787,138.8271203212036
210.58074460880795,137.59819414734986
228.18687517033052,132.95775999971835
272.11440608685166,-124.59527720093895
